playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
saiervi01,865,455,775,143,395,121,26,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,838,0,0,378,129,422,NULL,NULL,NULL,NULL
santoan02,10,0,0,0,0,0,0,0,0,2,10,0,0,23,17,2,9,14,21.259999999999998,18,10,1,52,0,0,0,NULL,NULL,NULL,NULL
scalzsk01,11,3,6,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,18,4,3,NULL,NULL,NULL,NULL
scanlmi99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
schmiko01,8,1,1,0,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3,90,3,0,0,NULL,NULL,NULL,NULL
shafeju01,45,0,0,0,0,0,0,0,2,1,45,0,1,55,28,9,36,46,19.810000000000002,31,45,0,161,2,0,0,NULL,NULL,NULL,NULL
sherfji01,57,0,0,0,0,0,0,0,5,1,57,0,2,48,22,8,21,60,15.909999999999998,23,57,0,181,5,0,0,NULL,NULL,NULL,NULL
shevlji01,53,13,19,4,12,4,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,0,0,13,1,11,NULL,NULL,NULL,NULL
simpsal01,45,0,0,0,0,0,0,0,2,2,45,0,0,51,33,5,32,57,82.71,38,45,0,147,5,2,0,NULL,318000,2005,NULL
smithbi04,32,1,2,1,1,0,0,0,1,6,32,0,1,82,32,8,17,34,11.89,42,32,6,205,9,2,1,NULL,NULL,NULL,NULL
smithha03,343,83,214,22,89,23,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,295,158,7137,369,55,25,NULL,NULL,NULL,NULL
smithjo03,14,1,5,0,2,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,0,0,17,3,1,NULL,NULL,NULL,NULL
stephbr01,74,5,7,1,3,0,0,0,8,16,74,3,4,220,123,20,106,69,10.03,140,74,0,0,32,3,2,NULL,NULL,NULL,NULL
stewaan01,5,1,2,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,44,1,0,0,NULL,NULL,NULL,NULL
stilero01,85,5,13,3,4,0,0,0,9,14,85,9,1,402,196,16,148,86,18.14,232,85,0,0,56,6,1,NULL,NULL,NULL,NULL
sulliji02,25,0,1,0,1,0,0,0,0,5,25,3,0,106,45,3,37,27,23.020000000000003,66,25,0,0,17,3,0,NULL,NULL,NULL,NULL
sullile01,7,0,0,0,0,0,0,0,0,1,7,0,0,9,6,0,9,4,4.26,8,7,0,0,0,1,0,NULL,NULL,NULL,NULL
tamulvi01,172,24,40,4,16,0,0,0,40,28,170,31,10,758,305,37,202,294,35.69,340,171,0,0,125,4,9,NULL,NULL,NULL,NULL
terryya01,93,6,21,2,6,1,0,0,20,28,93,14,2,463,208,33,196,167,24.62,238,93,0,0,94,3,3,NULL,NULL,NULL,NULL
tillmru01,38,11,13,2,9,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,12,330,0,1,0,NULL,60000,1986,NULL
tilloth01,50,1,1,0,0,0,0,0,4,9,50,1,2,110,49,9,46,63,8.379999999999999,58,50,5,326,18,0,0,NULL,NULL,NULL,NULL
valdese01,116,1,4,0,1,0,0,0,12,20,116,1,0,332,170,46,109,190,54.22999999999999,194,116,31,908,36,5,2,NULL,200000,1996,NULL
vanbejo01,26,3,2,1,2,0,0,0,2,13,26,0,0,125,92,14,68,65,27.540000000000003,100,26,19,270,10,0,1,NULL,327000,2006,NULL
venafmi01,307,0,0,0,0,0,0,0,15,10,307,0,5,264,115,15,94,131,27.73,129,307,0,760,52,6,6,NULL,812500,2002,NULL
waltefr01,40,2,16,2,5,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,0,0,35,1,2,NULL,NULL,NULL,NULL
weathda01,967,7,14,0,4,0,0,0,73,88,964,0,75,1432,650,133,604,976,123.45,711,964,69,4129,162,13,9,NULL,3933333,2004,NULL
webbele01,154,11,15,1,5,1,0,0,23,19,154,7,14,434,201,25,201,141,81.72,221,154,0,0,106,3,3,NULL,NULL,NULL,NULL
wilmepa01,3,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,2,1,15.43,4,3,0,7,1,0,0,NULL,NULL,NULL,NULL
wilsoda01,1299,441,1097,211,519,23,14,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1294,1179,31201,473,45,66,1,4500000,2002,NULL
winebo01,1164,249,682,104,268,7,7,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1144,972,25478,3030,141,708,NULL,NULL,NULL,NULL
yacabji01,57,0,0,0,1,0,0,0,3,5,57,0,0,111,66,19,59,75,20.41,68,57,12,312,10,1,3,NULL,NULL,NULL,NULL
yostne01,219,54,128,15,64,5,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,214,173,4718,54,16,7,NULL,NULL,NULL,NULL
baileed01,1212,432,915,128,540,17,18,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1070,985,26269,452,81,59,5,NULL,NULL,NULL
cervbo01,829,320,624,96,374,12,10,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,600,512,13257,52,29,14,1,NULL,NULL,NULL
doolise01,458,0,0,0,0,0,0,0,26,24,457,0,112,353,160,48,103,516,42.6,167,457,0,1336,28,2,2,2,1580000,2016,NULL
jeterde01,2747,1923,3465,544,1311,358,97,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2674,2661,69677,6605,254,1408,14,22600000,2010,NULL
matsuhi01,1236,656,1253,249,760,13,9,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,692,686,17845,41,24,11,2,13000000,2009,N
okajihi01,266,0,0,0,0,0,0,0,17,8,266,0,6,228,86,27,88,216,19.29,87,266,0,751,34,1,2,1,2750000,2010,NULL
pendlte01,1893,851,1897,356,946,127,59,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1786,1754,46188,3891,238,312,1,3200000,1994,N
piercbi02,616,94,203,13,69,1,2,0,211,169,585,193,32,2989,1201,284,1178,1999,60.02999999999999,1325,586,280,6250,487,28,32,7,NULL,NULL,N
eganji01,30,15,23,3,10,0,0,0,4,6,12,10,0,133,46,2,24,20,4.14,79,32,0,744,15,20,3,NULL,NULL,NULL,NULL
ewingjo01,133,47,87,6,36,18,0,0,53,63,129,113,2,1113,433,17,390,525,14.21,715,133,0,3285,228,23,7,NULL,NULL,NULL,NULL
reisla01,9,5,5,0,1,0,0,0,4,4,8,8,0,84,16,1,10,19,4,42,9,0,234,7,4,0,NULL,NULL,NULL,NULL
mcelrji01,15,3,7,0,3,0,0,0,1,13,14,13,0,125,66,1,54,48,15.66,118,17,0,420,25,10,1,NULL,NULL,NULL,NULL
smith01,1,1,1,0,0,0,0,0,0,0,1,0,0,12,6,0,2,2,9,11,2,0,24,0,0,0,NULL,NULL,NULL,NULL
