,max_depth,min_samples_split,min_samples_leaf,Accuracy,AUC_ROC
99,1.0,18.0,7.0,0.872852233676976,0.8749824429571679
100,1.0,18.0,9.0,0.872852233676976,0.8749824429571679
101,1.0,18.0,11.0,0.872852233676976,0.8749824429571679
102,1.0,18.0,13.0,0.872852233676976,0.8749824429571679
103,1.0,18.0,15.0,0.872852233676976,0.8749824429571679
104,1.0,18.0,17.0,0.872852233676976,0.8749824429571679
105,1.0,18.0,19.0,0.872852233676976,0.8749824429571679
106,1.0,18.0,21.0,0.872852233676976,0.8749824429571679
107,1.0,18.0,23.0,0.872852233676976,0.8749824429571679
108,1.0,20.0,1.0,0.872852233676976,0.8749824429571679
109,1.0,20.0,3.0,0.872852233676976,0.8749824429571679
110,1.0,20.0,5.0,0.872852233676976,0.8749824429571679
111,1.0,20.0,7.0,0.872852233676976,0.8749824429571679
112,1.0,20.0,9.0,0.872852233676976,0.8749824429571679
113,1.0,20.0,11.0,0.872852233676976,0.8749824429571679
114,1.0,20.0,13.0,0.872852233676976,0.8749824429571679
115,1.0,20.0,15.0,0.872852233676976,0.8749824429571679
116,1.0,20.0,17.0,0.872852233676976,0.8749824429571679
117,1.0,20.0,19.0,0.872852233676976,0.8749824429571679
118,1.0,20.0,21.0,0.872852233676976,0.8749824429571679
119,1.0,20.0,23.0,0.872852233676976,0.8749824429571679
120,1.0,22.0,1.0,0.872852233676976,0.8749824429571679
121,1.0,22.0,3.0,0.872852233676976,0.8749824429571679
122,1.0,22.0,5.0,0.872852233676976,0.8749824429571679
123,1.0,22.0,7.0,0.872852233676976,0.8749824429571679
124,1.0,22.0,9.0,0.872852233676976,0.8749824429571679
125,1.0,22.0,11.0,0.872852233676976,0.8749824429571679
126,1.0,22.0,13.0,0.872852233676976,0.8749824429571679
127,1.0,22.0,15.0,0.872852233676976,0.8749824429571679
128,1.0,22.0,17.0,0.872852233676976,0.8749824429571679
129,1.0,22.0,19.0,0.872852233676976,0.8749824429571679
130,1.0,22.0,21.0,0.872852233676976,0.8749824429571679
131,1.0,22.0,23.0,0.872852233676976,0.8749824429571679
132,1.0,24.0,1.0,0.872852233676976,0.8749824429571679
133,1.0,24.0,3.0,0.872852233676976,0.8749824429571679
134,1.0,24.0,5.0,0.872852233676976,0.8749824429571679
135,1.0,24.0,7.0,0.872852233676976,0.8749824429571679
136,1.0,24.0,9.0,0.872852233676976,0.8749824429571679
137,1.0,24.0,11.0,0.872852233676976,0.8749824429571679
138,1.0,24.0,13.0,0.872852233676976,0.8749824429571679
139,1.0,24.0,15.0,0.872852233676976,0.8749824429571679
140,1.0,24.0,17.0,0.872852233676976,0.8749824429571679
141,1.0,24.0,19.0,0.872852233676976,0.8749824429571679
142,1.0,24.0,21.0,0.872852233676976,0.8749824429571679
143,1.0,24.0,23.0,0.872852233676976,0.8749824429571679
144,2.0,2.0,1.0,0.8917525773195877,0.9049891848616154
145,2.0,2.0,3.0,0.8917525773195877,0.9049891848616154
146,2.0,2.0,5.0,0.8917525773195877,0.9049891848616154
147,2.0,2.0,7.0,0.8917525773195877,0.9049891848616154
148,2.0,2.0,9.0,0.8917525773195877,0.9049891848616154
149,2.0,2.0,11.0,0.8917525773195877,0.9049891848616154
150,2.0,2.0,13.0,0.8917525773195877,0.9049891848616154
151,2.0,2.0,15.0,0.8917525773195877,0.9049891848616154
152,2.0,2.0,17.0,0.8917525773195877,0.9049891848616154
153,2.0,2.0,19.0,0.8917525773195877,0.9049891848616154
154,2.0,2.0,21.0,0.8917525773195877,0.9049891848616154
155,2.0,2.0,23.0,0.8917525773195877,0.9049891848616154
156,2.0,4.0,1.0,0.8917525773195877,0.9049891848616154
157,2.0,4.0,3.0,0.8917525773195877,0.9049891848616154
158,2.0,4.0,5.0,0.8917525773195877,0.9049891848616154
159,2.0,4.0,7.0,0.8917525773195877,0.9049891848616154
160,2.0,4.0,9.0,0.8917525773195877,0.9049891848616154
161,2.0,4.0,11.0,0.8917525773195877,0.9049891848616154
162,2.0,4.0,13.0,0.8917525773195877,0.9049891848616154
163,2.0,4.0,15.0,0.8917525773195877,0.9049891848616154
164,2.0,4.0,17.0,0.8917525773195877,0.9049891848616154
165,2.0,4.0,19.0,0.8917525773195877,0.9049891848616154
166,2.0,4.0,21.0,0.8917525773195877,0.9049891848616154
167,2.0,4.0,23.0,0.8917525773195877,0.9049891848616154
168,2.0,6.0,1.0,0.8917525773195877,0.9049891848616154
169,2.0,6.0,3.0,0.8917525773195877,0.9049891848616154
