,max_depth,min_samples_split,min_samples_leaf,Accuracy,AUC_ROC
249,2.0,18.0,19.0,0.8125,0.7105263157894737
250,2.0,18.0,21.0,0.8125,0.7105263157894737
251,2.0,18.0,23.0,0.8125,0.7105263157894737
252,2.0,20.0,1.0,0.8125,0.7105263157894737
253,2.0,20.0,3.0,0.8125,0.7105263157894737
254,2.0,20.0,5.0,0.8125,0.7105263157894737
255,2.0,20.0,7.0,0.8125,0.7105263157894737
256,2.0,20.0,9.0,0.8125,0.7105263157894737
257,2.0,20.0,11.0,0.8125,0.7105263157894737
258,2.0,20.0,13.0,0.8125,0.7105263157894737
259,2.0,20.0,15.0,0.8125,0.7105263157894737
260,2.0,20.0,17.0,0.8125,0.7105263157894737
261,2.0,20.0,19.0,0.8125,0.7105263157894737
262,2.0,20.0,21.0,0.8125,0.7105263157894737
263,2.0,20.0,23.0,0.8125,0.7105263157894737
264,2.0,22.0,1.0,0.8125,0.7105263157894737
265,2.0,22.0,3.0,0.8125,0.7105263157894737
266,2.0,22.0,5.0,0.8125,0.7105263157894737
267,2.0,22.0,7.0,0.8125,0.7105263157894737
268,2.0,22.0,9.0,0.8125,0.7105263157894737
269,2.0,22.0,11.0,0.8125,0.7105263157894737
270,2.0,22.0,13.0,0.8125,0.7105263157894737
271,2.0,22.0,15.0,0.8125,0.7105263157894737
272,2.0,22.0,17.0,0.8125,0.7105263157894737
273,2.0,22.0,19.0,0.8125,0.7105263157894737
274,2.0,22.0,21.0,0.8125,0.7105263157894737
275,2.0,22.0,23.0,0.8125,0.7105263157894737
276,2.0,24.0,1.0,0.8125,0.7105263157894737
277,2.0,24.0,3.0,0.8125,0.7105263157894737
278,2.0,24.0,5.0,0.8125,0.7105263157894737
279,2.0,24.0,7.0,0.8125,0.7105263157894737
280,2.0,24.0,9.0,0.8125,0.7105263157894737
281,2.0,24.0,11.0,0.8125,0.7105263157894737
282,2.0,24.0,13.0,0.8125,0.7105263157894737
283,2.0,24.0,15.0,0.8125,0.7105263157894737
284,2.0,24.0,17.0,0.8125,0.7105263157894737
285,2.0,24.0,19.0,0.8125,0.7105263157894737
286,2.0,24.0,21.0,0.8125,0.7105263157894737
287,2.0,24.0,23.0,0.8125,0.7105263157894737
288,3.0,2.0,1.0,0.84765625,0.7787081339712918
289,3.0,2.0,3.0,0.84765625,0.7787081339712918
290,3.0,2.0,5.0,0.84375,0.7760765550239234
291,3.0,2.0,7.0,0.83984375,0.7685007974481658
292,3.0,2.0,9.0,0.83984375,0.7685007974481658
293,3.0,2.0,11.0,0.84375,0.7810207336523125
294,3.0,2.0,13.0,0.84375,0.7810207336523125
295,3.0,2.0,15.0,0.84375,0.7810207336523125
296,3.0,2.0,17.0,0.84375,0.7810207336523125
297,3.0,2.0,19.0,0.84375,0.7810207336523125
298,3.0,2.0,21.0,0.84375,0.7810207336523125
299,3.0,2.0,23.0,0.84375,0.7810207336523125
300,3.0,4.0,1.0,0.84765625,0.7787081339712918
301,3.0,4.0,3.0,0.84765625,0.7787081339712918
302,3.0,4.0,5.0,0.84375,0.7760765550239234
303,3.0,4.0,7.0,0.83984375,0.7685007974481658
304,3.0,4.0,9.0,0.83984375,0.7685007974481658
305,3.0,4.0,11.0,0.84375,0.7810207336523125
306,3.0,4.0,13.0,0.84375,0.7810207336523125
307,3.0,4.0,15.0,0.84375,0.7810207336523125
308,3.0,4.0,17.0,0.84375,0.7810207336523125
309,3.0,4.0,19.0,0.84375,0.7810207336523125
310,3.0,4.0,21.0,0.84375,0.7810207336523125
311,3.0,4.0,23.0,0.84375,0.7810207336523125
312,3.0,6.0,1.0,0.84765625,0.7787081339712918
313,3.0,6.0,3.0,0.84375,0.7760765550239234
314,3.0,6.0,5.0,0.84375,0.7760765550239234
315,3.0,6.0,7.0,0.83984375,0.7685007974481658
316,3.0,6.0,9.0,0.83984375,0.7685007974481658
317,3.0,6.0,11.0,0.84375,0.7810207336523125
318,3.0,6.0,13.0,0.84375,0.7810207336523125
319,3.0,6.0,15.0,0.84375,0.7810207336523125
320,3.0,6.0,17.0,0.84375,0.7810207336523125
321,3.0,6.0,19.0,0.84375,0.7810207336523125
322,3.0,6.0,21.0,0.84375,0.7810207336523125
323,3.0,6.0,23.0,0.84375,0.7810207336523125
