playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,A_G_ALL,A_GP,inducted
martimo01,15,28,2,7,0,0,0,38,34,8,15,607,56,249,245,5.959999999999999,320,9,763,116,5,12,NULL,250,250,N
marioma01,602,1448,272,624,35,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4829,252,978,8,1572,0,N
lockmwh01,836,1658,222,563,43,27,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,519,14528,592,124,694,1,1666,0,N
martibi02,425,877,137,333,34,29,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,609,15968,2252,109,613,1,1022,0,N
mantlmi01,1677,2415,344,1509,153,38,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1927,48597,290,107,201,16,2401,0,Y
matheed01,1509,2315,354,1453,68,39,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1995,52928,4385,313,444,9,2391,0,Y
mayswi01,2062,3283,523,1903,338,103,192,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2666,71009,233,156,121,20,2992,0,Y
moorete01,719,1318,263,513,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119,52,24,4,1298,1,N
mulcahu01,24,64,9,21,0,0,0,45,89,63,9,1271,69,487,314,4.288888888888888,695,0,0,286,15,20,1,223,220,N
mccorfr01,722,1711,334,951,27,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1003,79,1221,9,1534,0,N
mcdougi01,697,1291,187,576,45,44,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,828,22323,3373,149,815,5,1336,0,N
mcmilro01,739,1639,253,594,41,36,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1609,41685,6233,292,1311,2,2093,0,N
moseswa01,1124,2138,435,679,174,81,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,147,113,35,2,2014,0,N
mizejo01,1118,2011,367,1337,28,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1033,133,1320,10,1883,0,Y
miksied01,383,722,95,228,52,22,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,246,7125,1641,121,305,NULL,1042,0,N
minosmi01,1136,1963,336,1023,205,130,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1287,33888,331,112,36,7,1835,0,N
newhoha01,71,201,22,81,3,3,0,207,150,212,26,2674,137,1249,1796,3.371764705882353,1197,1,147,611,22,40,7,492,488,Y
