playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,A_YP,A_G_ALL,A_GP,inducted
bostich01,6,11,3,3,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,162,8,0,1,NULL,NULL,NULL,2,35,0,NULL
bostihe01,0,0,0,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,0,0,NULL,NULL,NULL,1,2,0,NULL
bostoly01,305,624,102,250,45,28,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,486,13057,30,15,4,NULL,NULL,NULL,4,526,0,NULL
bosweke01,266,625,91,244,27,17,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,574,15649,1432,66,298,NULL,NULL,NULL,11,930,0,NULL
boteda01,117,205,39,138,10,6,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229,6355,518,31,108,NULL,NULL,NULL,4,343,0,NULL
bottajo01,3,11,3,7,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,9,0,0,NULL,NULL,NULL,1,26,0,NULL
bottoji01,1177,2313,465,1422,58,15,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,815,223,1562,NULL,NULL,NULL,16,1991,0,Y
bouchal01,62,119,26,49,13,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,263,42,18,NULL,NULL,NULL,1,147,0,NULL
bouched01,298,583,114,290,5,8,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,582,15509,451,66,435,NULL,NULL,NULL,7,670,0,NULL
bouchme01,2,5,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,1,1,NULL,NULL,NULL,1,17,0,NULL
boudrlo01,861,1779,385,789,51,50,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4877,230,1205,8,NULL,NULL,15,1646,0,Y
bourjch01,4,5,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,102,0,0,0,NULL,NULL,NULL,1,13,0,NULL
bourju01,206,433,71,303,3,0,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435,11054,220,15,358,NULL,537500,2016,6,559,0,NULL
bourqpa01,36,87,17,61,1,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,2323,80,13,81,NULL,NULL,NULL,4,201,0,NULL
bowcobe01,7,16,3,10,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,363,32,7,4,NULL,NULL,NULL,1,14,0,NULL
bowdeti01,0,2,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,1,7,0,NULL
bowench01,0,1,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,1,3,0,NULL
bowensa01,141,287,48,143,25,13,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,313,8694,23,17,4,NULL,NULL,NULL,7,479,0,NULL
bowensa02,3,3,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,207,1,0,0,NULL,NULL,NULL,3,16,0,NULL
bowerbi01,5,15,2,6,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,1,0,NULL,NULL,NULL,1,26,0,NULL
bowerbr01,6,12,2,3,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,297,2,0,0,NULL,NULL,NULL,1,21,0,NULL
bowesfr01,28,51,5,24,11,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1563,67,35,8,NULL,NULL,NULL,1,61,0,NULL
bowieji01,0,3,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,111,2,0,5,NULL,NULL,NULL,1,6,0,NULL
bowlist01,23,47,10,15,2,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,1987,15,3,1,NULL,NULL,NULL,2,103,0,NULL
bowliwe01,0,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,39,4,0,0,NULL,NULL,NULL,1,2,0,NULL
