playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
drabedo01,412,42,119,17,46,0,1,0,155,134,398,53,0,2448,1052,246,704,1594,51.46,1141,398,387,7605,342,29,20,1,5050000,1996,N
ewingbu01,1315,1129,1625,250,883,354,0,0,2,3,9,4,1,55,18,2,23,23,25.25,36,1345,0,34098,1782,572,282,NULL,NULL,NULL,Y
johnswa01,933,241,547,94,255,13,4,0,417,279,802,531,34,4913,1424,97,1363,3509,49.31,1902,815,120,3114,1352,53,72,NULL,NULL,NULL,Y
larsedo01,480,65,144,25,72,0,3,0,81,91,412,44,26,1442,650,130,725,849,70.46000000000001,728,414,150,4093,244,17,22,NULL,NULL,NULL,N
stanlmi01,1516,641,1243,201,500,44,23,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1480,1216,34180,327,46,105,NULL,NULL,NULL,N
bunniji01,601,82,213,21,75,0,2,0,224,184,591,151,16,3433,1366,372,1000,2855,64.18,1527,591,519,11280,372,23,20,7,NULL,NULL,Y
stearjo01,810,334,696,152,312,91,51,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,783,719,19416,520,75,103,4,NULL,NULL,N
lansfca01,1862,1007,2074,332,874,224,104,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1850,1765,46342,2847,153,311,1,1375000,1989,N
mackco01,724,392,659,79,265,127,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,729,0,18513,917,318,101,NULL,NULL,NULL,Y
vanceda01,442,68,146,23,75,1,0,0,197,140,442,216,11,2809,1068,132,840,2045,83.87,1246,442,0,0,570,18,29,NULL,NULL,NULL,Y
barroed99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
kuheljo01,2104,1236,2212,412,1049,178,90,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2057,0,0,1163,173,1769,NULL,NULL,NULL,N
walberu01,547,78,162,26,84,2,1,0,155,141,544,140,32,2795,1223,163,1031,1085,73.83000000000001,1423,544,0,0,558,37,18,NULL,NULL,NULL,N
millebo04,707,8,33,1,8,0,0,0,69,81,694,7,51,1487,581,101,608,895,79.98000000000002,679,694,99,4654,335,22,27,NULL,NULL,NULL,N
maddoga01,1749,777,1802,337,754,248,92,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1687,1566,41864,94,78,21,NULL,820333,1985,N
whitede03,1941,1125,1934,378,846,346,98,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1867,1782,47183,97,71,23,3,5000000,2001,N
chandsp01,211,53,110,18,45,0,1,0,109,43,211,109,6,1327,468,64,463,614,35.230000000000004,549,211,0,0,385,10,28,4,NULL,NULL,N
coopemo01,297,50,127,16,68,0,0,0,128,75,295,128,14,1666,607,85,571,913,39.53,703,295,0,0,270,16,20,4,NULL,NULL,N
jenkife01,665,54,148,27,85,0,1,0,284,226,664,267,7,4142,1669,484,997,3192,67.78,1853,664,594,13501,660,49,45,3,NULL,NULL,Y
griffke01,2097,1129,2143,364,859,200,83,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1875,1748,45971,199,89,143,3,1150000,1987,N
bonilbo01,2113,1084,2010,408,1173,45,57,128,0,0,1,0,0,3,2,1,1,0,18,2,1972,1837,47703,1869,230,251,6,6300000,1994,N
nenro01,643,0,1,0,0,0,0,0,45,42,643,0,314,607,237,51,260,793,37.660000000000004,266,643,4,2145,69,7,8,3,9150000,2004,N
jordabr01,1456,755,1454,267,821,119,48,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1362,1289,33816,96,35,32,1,9600000,2003,N
grimebu01,632,157,380,62,168,15,4,0,270,212,616,314,18,4412,1638,148,1295,1512,90.91999999999997,2048,616,0,0,1252,71,74,NULL,NULL,NULL,Y
murraed02,3026,1627,3255,560,1917,110,43,222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2422,2410,63605,1871,168,2034,8,4125000,1992,Y
loftoke01,2103,1528,2428,383,781,622,160,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2041,1977,51547,142,79,35,6,8000000,2001,N
hornsro01,2259,1579,2930,541,1584,135,64,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2164,0,0,6842,500,1127,NULL,NULL,NULL,Y
paskedo01,1716,868,1613,279,577,293,43,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1660,344,9225,257,136,59,NULL,NULL,NULL,N
crossla01,2277,1338,2651,411,1378,303,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2298,473,58737,4553,590,315,NULL,NULL,NULL,N
tekulke01,1050,8,10,0,2,0,0,0,94,90,1050,0,184,1305,455,63,491,779,65.33000000000001,526,1051,0,4311,327,13,17,1,925000,1987,N
wellswi99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
thomafr04,2322,1494,2468,495,1704,32,23,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,971,969,25150,497,80,776,5,12560000,2008,Y
lockmwh01,1666,836,1658,222,563,43,27,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1550,519,14528,592,124,694,1,NULL,NULL,N
giustda01,686,29,77,10,46,0,0,0,100,93,668,35,145,1654,687,126,570,1103,58.18,764,668,133,5151,264,15,11,1,NULL,NULL,N
clarkwi02,1976,1186,2176,440,1205,67,48,155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1889,1865,48748,1294,136,1571,6,6000000,2000,N
goodedw01,434,60,145,15,67,1,1,0,194,112,430,68,3,2564,1091,210,954,2293,76.04999999999998,1198,430,410,8402,423,34,35,4,5916667,1993,N
jonesdo01,846,0,1,0,0,0,0,0,69,79,846,0,303,1155,414,86,247,909,68.60000000000002,465,846,4,3385,152,21,14,5,2875000,1994,N
baergca01,1630,731,1583,279,774,59,24,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,1235,32810,3501,169,820,3,4750000,1997,N
nomohi01,324,22,65,14,26,0,0,0,123,109,323,16,0,1768,932,251,908,1918,74.29,993,323,318,5929,180,13,17,1,9000000,2004,N
mcgrajo01,1100,1024,1309,121,462,436,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,2,26757,2288,413,182,NULL,NULL,NULL,Y
heilmha01,2148,1291,2660,542,1539,113,64,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2059,0,0,503,199,253,NULL,NULL,NULL,Y
marbefi01,551,60,128,21,65,2,1,0,148,88,551,86,101,2049,834,96,686,822,51.459999999999994,971,551,0,0,370,17,29,NULL,NULL,NULL,N
tobinji01,396,81,183,35,102,1,0,0,105,112,287,156,5,1929,726,107,557,498,34.95,861,288,0,0,480,21,28,1,NULL,NULL,N
dihigma99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
varitja01,1546,664,1307,306,757,25,18,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1488,1372,36498,541,69,72,3,11000000,2007,N
rizzuph01,1661,877,1588,239,563,149,58,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1649,155,4313,4666,263,1217,5,NULL,NULL,Y
santoro01,2243,1138,2254,365,1331,35,41,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2201,2172,57866,4717,327,449,9,NULL,NULL,Y
porteda02,1782,765,1369,237,826,39,37,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1511,1430,37855,755,134,106,4,740000,1985,N
boggswa01,2440,1513,3010,578,1014,24,35,180,0,0,2,0,0,3,1,0,1,2,6.75,1,2285,2223,58402,4304,232,472,12,4724316,1995,Y
burnije01,1694,917,1447,298,981,74,58,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1579,1502,39625,93,71,18,1,12166667,2003,N
hudsoor01,1345,648,1319,256,542,85,28,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1308,1265,33375,3860,92,847,2,6250000,2008,N
mcaleji01,1021,620,1008,114,469,262,0,0,0,0,1,0,0,2,0,0,3,0,0,3,1020,0,26883,155,155,36,NULL,NULL,NULL,N
pennohe01,620,108,232,33,103,1,0,0,240,162,617,247,32,3900,1428,128,916,1227,93.28999999999999,1692,617,0,0,824,26,45,NULL,NULL,NULL,Y
sewellu01,1630,653,1393,272,696,65,44,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1580,0,0,1091,151,143,1,NULL,NULL,N
kellge01,1795,881,2054,385,870,51,36,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1788,394,9842,3326,168,360,10,NULL,NULL,Y
siebeso01,405,52,114,22,57,0,0,0,140,114,399,67,16,1919,767,197,692,1512,54.59,907,399,307,6454,329,26,28,2,NULL,NULL,N
cuellmi01,456,37,76,8,33,0,0,0,185,130,453,172,11,2538,979,222,822,1632,77.19,1130,453,379,8422,453,30,33,4,NULL,NULL,N
brocklo01,2616,1610,3023,486,900,938,307,124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2507,2449,64478,142,196,29,6,NULL,NULL,Y
kessido01,2078,899,1931,254,527,100,85,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2062,1955,52117,6453,350,1215,6,NULL,NULL,N
hurstbr01,380,11,31,5,8,0,0,0,145,113,379,83,0,2463,1052,258,740,1689,80.48,1143,379,359,7252,355,15,15,1,3000000,1993,N
finlech01,524,3,3,1,1,0,0,0,200,173,524,63,0,3069,1366,304,1332,2610,70.71000000000001,1517,524,467,9592,325,46,25,5,9666667,2001,N
appieke01,414,4,8,0,4,0,0,0,169,137,414,34,0,2425,1078,232,933,1994,88.91999999999999,1168,414,402,7786,225,12,25,1,11500000,2003,N
mondera01,1525,909,1589,319,860,229,92,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1502,1471,39094,112,76,23,1,13000000,2003,N
keefeti01,618,248,390,60,134,13,0,0,342,225,600,554,2,4438,1474,75,1233,2564,42.9,2470,625,0,15813,1079,174,31,NULL,NULL,NULL,Y
sislege01,2055,1284,2812,425,1175,375,127,0,5,6,24,9,3,91,29,0,52,63,8.33,36,2036,0,0,1573,274,1472,NULL,NULL,NULL,Y
harribu01,1263,722,1297,224,506,167,91,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1257,0,0,3844,264,801,NULL,NULL,NULL,Y
kindeel01,484,34,63,7,33,0,1,0,102,71,484,56,102,1421,564,118,539,749,38.85,627,484,2,690,174,9,11,NULL,NULL,NULL,N
harrile01,1903,460,1055,161,369,131,54,26,0,0,1,0,0,0,0,0,0,1,0,0,1229,761,21621,1437,131,231,NULL,1125000,1999,N
medwijo01,1984,1198,2471,540,1383,42,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1871,0,0,143,86,36,10,NULL,NULL,Y
allenjo02,365,82,124,12,64,1,0,0,142,75,352,109,18,1849,813,104,738,1070,56.48,924,352,0,0,366,21,24,1,NULL,NULL,N
mccovwi01,2588,1229,2211,353,1555,26,22,260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2320,2251,56445,1236,256,1407,6,NULL,NULL,Y
rhoderi01,427,58,181,38,75,0,1,0,151,125,413,69,1,2606,1036,198,801,1419,60.080000000000005,1143,413,380,7781,386,6,23,2,900000,1989,N
lajoina01,2480,1504,3243,657,1599,380,21,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2441,935,47190,6691,518,1211,NULL,NULL,NULL,Y
donlimi01,1049,669,1282,176,543,213,0,0,0,1,4,0,0,16,13,1,14,6,7.63,15,970,423,22107,165,176,60,NULL,NULL,NULL,N
bushdo01,1946,1281,1804,186,436,404,75,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1936,318,8454,6286,704,597,NULL,NULL,NULL,N
